
2024/12/07 (14:08:52) | ===> btop++ v.1.3.2
2024/12/07 (14:08:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/07 (14:09:59) | ===> btop++ v.1.3.2
2024/12/07 (14:09:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/14 (23:53:55) | ===> btop++ v.1.3.2
2024/12/14 (23:53:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/18 (16:16:24) | ===> btop++ v.1.3.2
2024/12/18 (16:16:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/18 (16:21:38) | ===> btop++ v.1.3.2
2024/12/18 (16:21:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/18 (16:25:59) | ===> btop++ v.1.3.2
2024/12/18 (16:25:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/19 (18:23:03) | ERROR: Stall in Runner thread, restarting!

2024/12/20 (23:15:13) | ===> btop++ v.1.3.2
2024/12/20 (23:15:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/23 (18:40:59) | ===> btop++ v.1.3.2
2024/12/23 (18:40:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/23 (18:40:59) | WARNING: ROCm SMI: Failed to get device name
2024/12/23 (18:40:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/23 (18:40:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/23 (18:40:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/23 (18:40:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/23 (18:40:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/12/23 (18:42:32) | INFO: Logger set to INFO

2024/12/23 (18:42:55) | ===> btop++ v.1.3.2
2024/12/23 (18:42:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/23 (18:42:55) | WARNING: ROCm SMI: Failed to get device name
2024/12/23 (18:42:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/23 (18:42:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/23 (18:42:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/23 (18:42:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/23 (18:42:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/27 (00:08:20) | ===> btop++ v.1.3.2
2024/12/27 (00:08:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/27 (00:08:20) | WARNING: ROCm SMI: Failed to get device name
2024/12/27 (00:08:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/27 (00:08:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/27 (00:08:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/27 (00:08:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/27 (00:08:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/27 (01:09:56) | ===> btop++ v.1.3.2
2024/12/27 (01:09:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/27 (01:09:56) | WARNING: ROCm SMI: Failed to get device name
2024/12/27 (01:09:56) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/27 (01:09:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/27 (01:09:56) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/27 (01:09:56) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/27 (01:09:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/27 (23:47:54) | ===> btop++ v.1.3.2
2024/12/27 (23:47:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/27 (23:47:54) | WARNING: ROCm SMI: Failed to get device name
2024/12/27 (23:47:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/27 (23:47:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/27 (23:47:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/27 (23:47:54) | WARNING: ROCm SMI: Failed to get GPU power usage
